name,gz2class,smooth,completely_round,in_between,cigar_shaped,features_or_disks,edge_on,round_bulge_shape,boxy_bulge_shape,none_bulge_shape,bar,none_bulge_prominence,just_noticeable_bulge_prominence,obvious_bulge_prominence,dominant_bulge_prominence,spiral_structure,odd_feature,ring,lens_arc,disturbed,irregular,other,merge,dust,star
J122526.74+114015.3,Ei(m),1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,
J164149.36+371833.4,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J103148.45+581935.3,Sc1t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J080600.85+380133.5,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J162608.69+483417.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J122940.27+121743.4,Sc(m),,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,
J160928.12+310322.9,Sc(o),,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,
J120510.92+524317.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J142935.52+350757.1,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J081735.64+505024.2,Sd2l(i),,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,
J123235.94-015700.2,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J154414.35+482341.7,Sb?m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J100456.41+633136.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J150955.74+541526.1,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J141258.56+625212.3,Sc4m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J143756.34+434222.3,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J160108.10+381901.7,Sb2t(r),,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
J123643.30+660222.0,Sb2l,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J173708.14+541220.9,Sb(r),,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,
J131101.23+000310.9,Sb1t(r),,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
J084844.74+534445.9,Sen,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
J083922.71+265620.4,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J125339.58+053339.4,Sb?t,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J093745.97+005658.1,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J114157.65+084639.6,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J135144.36+463703.6,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J162608.69+483417.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J082714.96+263618.3,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J082107.89+502115.8,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J110053.07+053017.0,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J160620.28+323155.8,Sc2m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J100131.21+465946.8,Sc2l(m),,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,
J095958.23+030232.9,Sc2l(m),,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,
J093625.37+592452.7,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J094419.88+424932.8,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J214156.66+003649.9,SBb?t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J134954.34-031327.0,Sc2m,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J165405.72+380720.1,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J144511.20+502042.4,Sb3m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J090312.81+385152.0,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J132123.26+000441.4,SBc2m,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J142237.92+044848.5,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J162606.43+471535.7,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J092326.74+040248.8,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J085226.37+292641.1,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J103724.85-004215.8,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J143046.32+351313.5,Er,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
J170437.26+603512.4,Er(m),1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,
J131122.97+612011.7,Sc,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
J132430.12+111009.6,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J092715.25+050254.6,Sc(o),,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,
J095121.78+071601.7,Sd,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
J104305.71-000317.6,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J120037.51+043149.4,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J105650.39+444312.1,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J094023.54+044155.6,Sd?t(i),,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,
J081102.04+222848.5,Sb,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
J141307.18+031707.3,SBb2m,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J221930.90+004801.7,Ei,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
J164530.57+372025.7,Sb(o),,,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,
J145830.46+463127.6,Ser,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
J115906.35-020718.0,SBc,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
J130409.43+112111.9,Sc?t,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
J090745.82+000328.6,SBc,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
